Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.04,0.4,0.84,0.94,0.6
0.22,0.03,0.81,0.39,0.03
0.07,0.03,0.21,0.84,0.94
0.04,0.07,0.46,0.35,0.84
0.07,0.1,0.92,0.46,0.99
0.03,0.07,0.29,0.91,0.75
0.69,0.03,0.01,0.98,0.74
0.03,0.89,0.02,0.41,0.73
0.03,0.03,0.38,0.91,0.02
0.69,,0.76,0.03,0.72
0.02,,0.31,0.76,0.86
0.02,,0.13,0.06,0.84
,,0.84,0.39,0.93
,,0.9,,0.49
,,0.46,,0.03
,,0.99,,0.12
,,0.89,,
,,0.72,,
,,0.74,,
,,0.07,,
,,0.03,,
,,0.03,,
,,0.05,,
,,0.03,,
,,0.32,,
,,0.31,,
,,0.07,,
,,0.76,,
,,0.39,,
,,0.84,,
,,0.79,,
,,0.81,,
,,0.98,,
,,0.13,,
,,0.69,,
,,0.45,,
,,0.76,,
,,0.99,,
,,0.02,,
,,0.72,,
,,0.05,,
,,0.02,,
,,0.67,,
,,0.84,,
,,0.44,,
,,0.7,,
,,0.46,,
,,0.02,,
,,0.12,,
,,0.91,,
,,0.03,,
,,0.62,,
,,0.91,,
,,0.81,,
,,0.07,,
,,0.31,,
,,0.79,,
,,0.38,,
,,0.07,,
,,0.64,,
,,0.03,,
,,0.76,,
,,0.03,,
,,0.31,,
,,0.76,,
,,0.12,,
,,0.79,,
,,0.49,,
,,0.02,,
,,0.13,,
,,0.03,,
,,0.07,,
,,0.02,,
,,0.81,,
,,0.13,,
,,0.02,,
