Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.04,0.15,0.72,0.9,0.05
0.06,0.04,0.53,0.3,0.03
0.11,0.03,0.31,0.65,0.58
0.04,0.03,0.37,0.2,0.46
0.08,0.1,0.57,0.35,0.85
0.11,0.07,0.05,0.2,0.54
0.04,0.07,0.01,0.87,-
0,0.02,0.01,0.24,0.56
0,0.02,0.39,0.67,0.43
0.34,,0.69,0.01,0.23
0.03,,0.2,0.44,0.01
0.08,,0.01,0.05,0.38
,,0.51,0.02,0.67
,,0.06,,0.11
,,0.28,,0.01
,,-,,0.1
,,0.91,,
,,-,,
,,0.49,,
,,0.02,,
,,0.08,,
,,0.03,,
,,0.02,,
,,0.13,,
,,0.17,,
,,0.24,,
,,0.02,,
,,0.4,,
,,0.09,,
,,0.71,,
,,0.64,,
,,0.35,,
,,0.44,,
,,0.11,,
,,0.29,,
,,0.47,,
,,0.47,,
,,0.93,,
,,0.01,,
,,0.45,,
,,0.01,,
,,0.04,,
,,-,,
,,0.6,,
,,0.11,,
,,0.4,,
,,0.25,,
,,0.11,,
,,0.15,,
,,0.55,,
,,-,,
,,0.36,,
,,0.7,,
,,0.48,,
,,0.25,,
,,0.18,,
,,0.46,,
,,0.27,,
,,0.02,,
,,0.1,,
,,0.01,,
,,0.02,,
,,0.03,,
,,0.38,,
,,0.52,,
,,0.17,,
,,0.09,,
,,0.05,,
,,0.19,,
,,0.19,,
,,0.08,,
,,0.01,,
,,0.06,,
,,0.4,,
,,0.03,,
,,0.44,,
