Arrogant,Entitled,Insulting,Trolling,Unprofessional
0,0.01,0.57,0.51,0
0,0.01,0.43,0.05,0
0.17,0,0.17,0.38,0.38
0,0.01,0.38,0.01,0.24
0,0,0.41,0.64,0.25
0.06,0,0.02,0.05,0.11
0,0.01,0,0.71,0.1
0,0.02,0.01,0.01,0.05
0,0,0.05,0.6,0.01
0.01,,0.52,0,0.01
0.01,,0.16,0.01,0.34
0,,0.02,0.06,0.3
,,0.43,0.04,0.38
,,0,,0
,,0.03,,0
,,0.52,,0.03
,,0.23,,
,,0.08,,
,,0.09,,
,,0,,
,,0.02,,
,,0.01,,
,,0,,
,,0.12,,
,,0.32,,
,,0,,
,,0.01,,
,,0.11,,
,,0.27,,
,,0.01,,
,,0,,
,,0.24,,
,,0.51,,
,,0.1,,
,,0.01,,
,,0.01,,
,,0.36,,
,,0.89,,
,,0,,
,,0.36,,
,,0,,
,,0.01,,
,,0.05,,
,,0.47,,
,,0.12,,
,,0.01,,
,,0.07,,
,,0,,
,,0.03,,
,,0.39,,
,,0.02,,
,,0.3,,
,,0.47,,
,,0.32,,
,,0.04,,
,,0.23,,
,,0.6,,
,,0.2,,
,,0.06,,
,,0,,
,,0,,
,,0.36,,
,,0,,
,,0.34,,
,,0.11,,
,,0.08,,
,,0.21,,
,,0.03,,
,,0.11,,
,,0.06,,
,,0.03,,
,,0,,
,,0.02,,
,,0,,
,,0.22,,
,,0,,
