Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.05,0.23,0.45,0.76,0.29
0.05,0.04,0.6,0.29,0.03
0.16,0.03,0.28,0.51,0.89
0.05,0.11,0.4,0.29,0.03
0.05,0.11,0.9,0.43,0.44
0.17,0.04,0.4,0.25,0.64
0.3,0.17,0.02,0.03,0.48
0.01,0.52,0.01,0.25,0.3
0.04,0.03,0.31,0.6,0.29
0.15,,0.77,0.01,0.03
0.04,,0.28,0.11,0.89
0.04,,0.05,0.05,0.83
,,0.58,0.08,0.68
,,0.03,,0.25
,,0.4,,0.02
,,0.18,,0.08
,,0.75,,
,,0.48,,
,,0.38,,
,,0.03,,
,,0.1,,
,,0.04,,
,,0.05,,
,,0.17,,
,,0.2,,
,,0.33,,
,,0.27,,
,,0.38,,
,,0.34,,
,,0.38,,
,,0.39,,
,,0.43,,
,,0.52,,
,,0.31,,
,,0.03,,
,,0.36,,
,,0.57,,
,,0.94,,
,,0.03,,
,,0.45,,
,,0.02,,
,,0.01,,
,,0.19,,
,,0.51,,
,,0.11,,
,,0.56,,
,,0.3,,
,,0.1,,
,,0.16,,
,,0.44,,
,,0.04,,
,,0.38,,
,,0.68,,
,,0.34,,
,,0.23,,
,,0.2,,
,,0.51,,
,,0.3,,
,,0.03,,
,,0.38,,
,,0.05,,
,,0.04,,
,,0.04,,
,,0.52,,
,,0.09,,
,,0.21,,
,,0.37,,
,,0.33,,
,,0.17,,
,,0.23,,
,,0.11,,
,,0.02,,
,,0.3,,
,,0.36,,
,,0.11,,
,,0.54,,
