Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.05,0.24,0.79,0.86,0.42
0.06,0.04,0.6,0.3,0.03
0.15,0.04,0.37,0.38,0.85
0.05,0.11,0.43,0.27,0.55
0.05,0.11,0.86,0.44,0.94
0.15,0.04,0.19,0.4,0.66
0.24,0.13,0.02,0.92,0.48
0.01,0.56,0.02,0.24,0.45
0.09,0.02,0.33,0.6,0.02
0.22,,0.85,0.01,0.4
0.04,,0.28,0.32,0.21
0.05,,0.09,0.04,0.79
,,0.52,0.32,0.68
,,0.76,,0.29
,,0.34,,0.02
,,0.94,,0.32
,,0.86,,
,,0.63,,
,,0.38,,
,,0.02,,
,,0.08,,
,,0.03,,
,,0.15,,
,,0.18,,
,,0.11,,
,,0.25,,
,,0.17,,
,,0.6,,
,,0.38,,
,,0.82,,
,,0.39,,
,,0.73,,
,,0.88,,
,,0.31,,
,,0.31,,
,,0.35,,
,,0.59,,
,,0.95,,
,,0.03,,
,,0.48,,
,,0.02,,
,,0.02,,
,,0.29,,
,,0.75,,
,,0.14,,
,,0.54,,
,,0.38,,
,,0.09,,
,,0.13,,
,,0.55,,
,,0.04,,
,,0.38,,
,,0.83,,
,,0.55,,
,,0.28,,
,,0.25,,
,,0.75,,
,,0.63,,
,,0.08,,
,,0.66,,
,,0.09,,
,,0.44,,
,,0.04,,
,,0.52,,
,,0.39,,
,,0.25,,
,,0.56,,
,,0.52,,
,,0.19,,
,,0.22,,
,,0.1,,
,,0.02,,
,,0.23,,
,,0.04,,
,,0.03,,
,,0.01,,
