Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.05,0.21,0.69,0.73,0.05
0.06,0.04,0.6,0.31,0.04
0.17,0.02,0.25,0.45,0.64
0.05,0.1,0.41,0.27,0.09
0.06,0.13,0.6,0.34,0.85
0.11,0.05,0.05,0.12,0.44
0.03,0.18,0.01,0.68,0.4
0.02,0.01,0.02,0.27,0.44
0.01,0.03,0.36,0.6,0.43
0.21,,0.78,0.01,0.4
0.03,,0.2,0.34,0.13
0.05,,0.01,0.04,0.52
,,0.55,0.02,0.68
,,0.05,,0.33
,,0.34,,0.02
,,0.45,,0.06
,,0.81,,
,,0.51,,
,,0.36,,
,,0.03,,
,,0.08,,
,,0.04,,
,,0.05,,
,,0.17,,
,,0.2,,
,,0.28,,
,,0.16,,
,,0.42,,
,,0.38,,
,,0.4,,
,,0.36,,
,,0.44,,
,,0.55,,
,,0.15,,
,,0.31,,
,,0.36,,
,,0.49,,
,,0.94,,
,,0.02,,
,,0.49,,
,,0.02,,
,,0.02,,
,,0.31,,
,,0.75,,
,,0.11,,
,,0.47,,
,,0.3,,
,,0.15,,
,,0.13,,
,,0.6,,
,,0.04,,
,,0.38,,
,,0.68,,
,,0.48,,
,,0.24,,
,,0.25,,
,,0.51,,
,,0.6,,
,,0.02,,
,,0.18,,
,,0.03,,
,,0.04,,
,,0.05,,
,,0.52,,
,,0.48,,
,,0.2,,
,,0.08,,
,,0.08,,
,,0.2,,
,,0.23,,
,,0.09,,
,,0.02,,
,,0.11,,
,,0.46,,
,,0.03,,
,,0.05,,
