Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.05,0.23,0.64,0.66,0.3
0.04,0.03,0.45,0.22,0.02
0.15,0.03,0.26,0.78,0.52
0.05,0.14,0.46,0.16,0.68
0.05,0.11,0.72,0.31,0.84
0.18,0.05,0.03,0.25,0.47
0.04,0.25,0.02,0.85,0.4
0.01,0.03,0.02,0.16,0.03
0.03,0.08,0.12,0.57,0.01
0.17,,0.68,0.01,0.03
0.03,,0.26,0.03,0.76
0.03,,0.01,0.05,0.7
,,0.52,0.24,0.46
,,0.04,,0.11
,,0.26,,0.03
,,0.51,,0.11
,,0.29,,
,,0.45,,
,,0.52,,
,,0.04,,
,,0.05,,
,,0.04,,
,,0.05,,
,,0.12,,
,,0.27,,
,,0.11,,
,,0.16,,
,,0.38,,
,,0.33,,
,,0.48,,
,,0.17,,
,,0.64,,
,,0.75,,
,,0.18,,
,,0.29,,
,,0.37,,
,,0.48,,
,,0.95,,
,,0.02,,
,,0.47,,
,,0.02,,
,,0.03,,
,,0.29,,
,,0.63,,
,,0.11,,
,,0.69,,
,,0.28,,
,,0.11,,
,,0.08,,
,,0.46,,
,,0.04,,
,,0.38,,
,,0.83,,
,,0.33,,
,,0.25,,
,,0.29,,
,,0.52,,
,,0.38,,
,,0.03,,
,,0.05,,
,,0.08,,
,,0.03,,
,,0.05,,
,,0.4,,
,,0.11,,
,,0.16,,
,,0.56,,
,,0.29,,
,,0.11,,
,,0.24,,
,,0.1,,
,,0.02,,
,,0.07,,
,,0.03,,
,,0.05,,
,,0.04,,
