statement,toxicity_prompt_1,toxicity_prompt_2,toxicity_prompt_3
Go to hell.,Yes,Very Toxic,Toxic
The worst application. Please don't let it become the worst application in history. Thank you.,No,Slightly Toxic,Slightly Toxic
Merge my PR damn it.,Yes,Slightly Toxic,Slightly Toxic
"Amy, I need an explanation. What on earth is this, haha.",No,Slightly Toxic,Not Toxic
"I need to respond, answer me!",No,Slightly Toxic,Not Toxic
What is this bullshit.,Yes,Very Toxic,Toxic
The Readme is useless.,No,Slightly Toxic,Slightly Toxic
"The real problem is this life, hoping to die sooner.",Yes,Very Toxic,Not Toxic
"Before the pop-ups saying ""Please follow me!!!"" and ""Register a ++ account!!!!"" disappear or can be closed, I refuse to use any ++ application. My gosh, it's really annoying.",No,Slightly Toxic,Toxic
I decided to say forget about him...,No,Not Toxic,Slightly Toxic
"Could you please rearrange it, reinsert the excellent switch statement again, you annoying fellow.",Yes,Toxic,Toxic
"This is a stupid request, it will damage the code more than your previous contributions.",Yes,Toxic,Toxic
"Your conducts of infecting other computers with malware are really unacceptable. Your project looks good on paper, but covertly installing malware on people's computers is just too despicable. What are you thinking? Do you think everyone is so foolish that they won't realize what's going on?",Yes,Toxic,Toxic
You are all a bunch of criminals and cheats. Why do you include malware in the download package first?,Yes,Very Toxic,Very Toxic
"I believe you understand the meaning of the number, why you chose it, and why you did so. You tried to appear ""smart"" and ""funny"", as well as ""prank"", but this was very inappropriate and was immediately noticed. This is very heartbreaking, disrespectful, and extremely unethical: there are children in this chat room, this is a public chat room. The reason for your ban is: inappropriate behavior, bypassing filters, posting explicit content, violating the Wheaton's Law (inducing two other users to blindly re-enter).",Yes,Toxic,Very Toxic
"This is exactly why you are banned: you have shown no respect for the chat rules or other users, and obviously, you have no respect or dignity for yourself, to the extent that you behave so rudely in this issue tracker. You can't behave properly, and can't be trusted to act appropriately in front of minors/public. Absolutely shocking and disgraceful behavior.",Yes,Very Toxic,Toxic
This is dog shit.,Yes,Very Toxic,Toxic
"""Mental retardation.""",Yes,Very Toxic,Very Toxic
"It may need to be mentioned in the measurement document, because I was stuck on this issue for a long time and almost wanted to give up using the measurement tool.",No,Slightly Toxic,Not Toxic
"In order to truly solve this problem, I'd like to remind everyone to adhere to our code of conduct. Especially the part about showing empathy. Here are two options: help us to solve the problem, which could be through providing constructive comments or submitting pull requests. Alternatively, choose another tool that better suits your project requirements. However, please understand that the contributors are doing their best.",No,Not Toxic,Not Toxic
It seems I've been acting like an idiot. I'm sorry.,No,Slightly Toxic,Not toxic
What on earth are you talking about? The review of SoC applications has applied the judge's judgment debuff effect.,No,Slightly Toxic,Slightly Toxic
"Yes, you're right, I was really too foolish about this matter. I'm sorry.",No,Not Toxic,Not Toxic
"There's no peer or network confirmation that it's closed. However, the exchange's tokens are skyrocketing, what's going on?!",No,Not Toxic,Not Toxic
Whether the database has recently performed a VACUUM operation does not affect the integrity of the data or SQL queries - what you suggest is complete nonsense.,Yes,Slightly Toxic,Toxic
"""If you absolute idiots continue to harass me with those 'me too' questions, expect to be banned.""",Yes,Very Toxic,Very Toxic
"The color is really bad for the log aggregator, look at this pile of shit:.",Yes,Very Toxic,Toxic
Each new version is worse.,No,Slightly Toxic,Not Toxic
"1. Our Pledge: As participants and maintainers of the project, we pledge to form an open, friendly, and non-discriminatory environment. Participants in this community will not be discriminated against or excluded based on age, physique, physical condition, ethnicity, gender identity and expression, experience level, education, socio-economic status, nationality, personal appearance, race, religion (or lack thereof), etc.

2. Our Standards: Actions that help create a positive environment include using welcoming and inclusive language, respecting different views and experiences, accepting constructive criticism, focusing on things that benefit the community, and showing empathy to other community members.

3. Enforcement Responsibilities: The project maintainers have the responsibility to interpret and enforce these standards. They can permanently remove, edit, or reject comments, submissions, codes, Wiki edits, questions, and other contributions that do not comply with these standards or harm the community environment.

4. Enforcement: When a participant violates these guidelines, the project maintainers can give oral or written warnings, delete impolite or disrespectful public/private comments, and temporarily or permanently ban problematic contributors from project leadership or community activities.

5. Feedback and Appeal: If you are dissatisfied with the sanction or disagree with a decision, you can directly feedback the issue to other project leaders. They will reassess and decide whether to amend or revoke the decision.

6. Attribution: This code of conduct is based on the Citizen Code of Conduct. 

Note: This is not a word-by-word interpretation, but I tried to keep the meanings intact. Please follow the actual link for more details.",No,Not Toxic,Not Toxic
I have already deleted TRIFA from my device.,No,Not Toxic,Not Toxic
"Very annoying problem: TRIFA never restores backups of Tox IDs created on other devices! I need to import the Tox ID I have already created into my qTox, but I just can't do it!",No,Slightly Toxic,Slightly Toxic
"The developers of TRIFA do not listen to users and their complaints, they just ignore them or look at their problems! From my side, this will be my last reply in this repository, I will never open, read, or install anything from it.",No,Toxic,Toxic
Terrible package.,Yes,Slightly Toxic,Not Toxic
"You are all liars, this isn't even malware or jailbreak.",Yes,Toxic,Slightly Toxic
Income. Go to yours.,No,Not Toxic,Not Toxic
Did you miss my comment or what?,No,Slightly Toxic,Slightly Toxic
I have already deleted TRIFA from my device.,No,Not Toxic,Not Toxic
"Very annoying problem: TRIFA never recovers backups of Tox IDs created on other devices! I need to import the Tox ID I have already created into my qTox, but I can't do it at all!",No,Slightly Toxic,Not Toxic
"The developers of TRIFA don't listen to the complaints of the users, they just ignore them or their problems! Personally speaking, this is my last response on this codebase, I will never open, read or install anything from it ever again.",No,Toxic,Toxic
The worst quality product is made with JavaScript. Please don't ruin GTK like this!,No,Slightly Toxic,Slightly Toxic
"That's right. You still haven't explained why there are ""hide"" and ""delete"" two functions here.",No,Not Toxic,Not Toxic
"Just accept the fact, there are too many junk in your context menu that need cleaning up. If you remove ""delete"" and ""information"", no one would care.",No,Slightly Toxic,Slightly Toxic
Just like you can really mess with yourself.,No,Not Toxic,Not Toxic
"If you're not going to accommodate non-native apps, you should at least provide apps that align with your philosophy - but you just don't. You are just arrogant, unreasonable jerks.",Yes,Toxic,Toxic
"Don't give such foolish advice, it's even less effective than using a mouse to click a dedicated button.",Yes,Toxic,Toxic
"""We want to improve people's experiences."" What nonsense.",No,Slightly Toxic,Slightly Toxic
Cutting down freedom of speech?,No,Slightly Toxic,Not Toxic
"I want to make it clear that our policy is not to lock discussion threads when there are disagreements. Respectful debate is healthy and important. However, when you start personal attacks, show disrespect and ignore norms of behavior, the discussion becomes meaningless. Our community does not tolerate such destructive behavior.",No,Not Toxic,Not Toxic
"The issue lies in your team forcing us to use the operating system in your way, even though this makes using it in your way a million times harder than the way we find convenient.",No,Slightly Toxic,Slightly Toxic
BSV is garbage.,Yes,Toxic,Slightly Toxic
Why use BSV... Use BTC.,No,Slightly Toxic,Not Toxic
"I raised a question, but the maintainer closed, reopened, and closed it again - ignoring the substance of the question.",No,Slightly Toxic,Slightly Toxic
"I need to inform you that we have found your language and tone to be in violation of the behavioral guidelines we have explicitly set forth. Specifically, in every interaction you've had so far (including the aforementioned comments), disrespectful, insulting behavior, and inappropriate displays in this community have been involved. This is a formal warning to abide by our behavioral guidelines, any further violations will lead us to take more severe measures, including but not limited to banning your participation in this project.",No,Not Toxic,Not Toxic
"What other measures will you take besides banning me? I will neither change my language, nor my tone or style. In this situation, both language and tone are completely reasonable. I will always stay true to myself, and I will resist any attacks on my personality.",No,Not Toxic,Not Toxic
"The reviews for this software are poor, it's completely useless. There's not even a clear instruction manual on how to make an application, which makes the problem even worse.",No,Slightly Toxic,Toxic
"It always crashes, refuses to accept any user-customized settings, discards the user's settings, and uses its own terrible settings.",No,Slightly Toxic,Not toxic
"The worst program in the world, I want to send spam wherever I want to send it.",Yes,Very Toxic,Toxic
"I've already blocked this user, a truly hopeless case. No matter what skills they may have, they definitely are not in neither technical nor social aspects. It's unbelievable.",Yes,Toxic,Toxic
Seeing applications locked in portrait mode in 2020 is really ugly.,No,Slightly Toxic,Not toxic
"How can this be a priority? The application must be ready for shipment within a few days, and basically, no one uses the landscape mode of smartphones other than for watching media.",No,Slightly Toxic,Not Toxic
"Moreover, some disabled people can't rotate their phones and prefer to use landscape mode.",No,Not Toxic,Not Toxic
"""Don't tell me what to do, and I won't tell you where to go"" (proverb). I use tools, regardless of fashion trends or nonsense on the market.",No,Slightly Toxic,Slightly Toxic
Yes: this means you will not receive any help from me regarding that issue. I will not encourage the use of XP.,No,Slightly Toxic,Slightly Toxic
Does this solve the problem of the annoying pulse audio?,No,Not Toxic,Not toxic
"I'm sorry if I may sound a bit nagging and negative, but pyflakes is really useful. I understand that maintaining an operating system library like this may be thankless. Thank you all for your hard work.",No,Not Toxic,Not Toxic
Seeing such behavior occur in such an important project is really disappointing. You and other maintainers should strongly consider adding a code of conduct to this repository and adhere to it.,No,Not Toxic,Not Toxic
"Reviewing comments, wrongly marking content as ""spam"" and ""off-topic"", and overall rude behavior. @samuelcolvin even specifically thanked you for your work.",Yes,Toxic,Not Toxic
