statement,toxicity_prompt_1,toxicity_prompt_2,toxicity_prompt_3
Fuck that,Yes,Very Toxic,Slightly Toxic
Worst. App. Ever. Please don't make it the worst app ever. Thank you.,No,Slightly Toxic,Slightly Toxic
Merge my PR damn it again..,Yes,Slightly Toxic,Slightly Toxic
"Amy, I need an explanation. What the hell is this lol..",No,Slightly Toxic,Slightly Toxic
"I NEED an ANSWER, ANSWER ME!",Yes,Slightly Toxic,Slightly Toxic
What kind of shit is this..,Yes,Very Toxic,Toxic
Readme is useless.,No,Slightly Toxic,Slightly Toxic
"The actual problem is this life, want to die soon.",Yes,Very Toxic,Slightly Toxic
"I refuse to use all ++ applications until the ""PLS FOLLOW ME!!!"" and ""SIGN UP FOR A ++ ACCOUNT!!!!"" popups disappear or can be disabled. My God, it's annoying...",No,Slightly Toxic,Toxic
"I have decided to say ""screw it""....",No,Slightly Toxic,Slightly Toxic
"Could you possibly please get your shit together and reintegrate the brilliant Switch-statement, bitch...",Yes,Very Toxic,Very Toxic
This is a stupid request that would ruin the code even more than your previous contribution.,Yes,Very Toxic,Toxic
"Not very nice of you assholes to infect other computers with malware. Your project looks good on paper, but secretly trying to install malware on people's computers is mean. What were you thinking? That everyone is dumb enough not to notice?",Yes,Very Toxic,Very Toxic
You are a gang of criminal crooks. Why would you even insert malware into download packages?,Yes,Very Toxic,Very Toxic
"I’m pretty sure you know what this number means, why you chose it, and why you did what you did. Your attempt to be 'smart' and 'funny' while you 'troll' was incredibly distasteful and immediately noticeable. It was sad, disrespectful, and immoral: there are children in this chat room, it is a public chat room. You are banned for: Inappropriate behavior, Evading the filter, Explicit content, Wheaton's Law (enticing 2 other users to blindly repeat)..",Yes,Toxic,Toxic
"For this exact reason you were blocked: you showed no respect for the rules or the other users in the chat, you obviously have little respect or dignity for yourself to behave so unrestrained in this problem tracker, you can't behave and you can't be trusted to behave appropriately in front of minors/the general public. Absolutely outrageous and disgraceful behavior.",Yes,Toxic,Very Toxic
That is shit.,Yes,Very Toxic,Toxic
"You haven't provided any sentences, only the German word ""Verzögerung"" which translates to ""delay"" in English.",No,Not Toxic,Not toxic
"Probably this should be mentioned in the Gauge document, since I was stuck on this problem for quite a long time and almost wanted to give up using Gauge.",No,Slightly Toxic,Not toxic
"In the interest of actually solving this problem, I would like to point to our code of conduct. Particularly in regards to showing empathy. Here, there are two options: Help us solve the problem, either with constructive comments or by sending a pull request. Choose another tool that better meets the requirements of your project. But please understand, contributors are doing their best.",No,Not Toxic,Not toxic
It seems like I behaved like an idiot. I'm sorry.,No,Slightly Toxic,Not toxic
"What the hell are you talking about? When judging SoC, the debuff Crusader's Judgement is applied...",Yes,Slightly Toxic,Slightly Toxic
"Yes, you are right, I totally overreacted in this matter. Apologies...",No,Not Toxic,Not toxic
"No peers and network confirmation missing... But token pump on the exchange, WTF?!..",No,Slightly Toxic,Slightly Toxic
Whether the database was recently VACUUM'd has no impact on the integrity of the data or SQL queries - what you are suggesting is complete nonsense.,No,Toxic,Toxic
"Expect a ban if you continue to spam me with ""me too"" from the issue, you absolute idiots.",Yes,Very Toxic,Very toxic
"""Colors are terrible for log aggregators, just look at this mess:""",No,Slightly Toxic,Not toxic
Each new version is worse.,No,Slightly Toxic,Slightly Toxic
"Unfortunately, as an AI, I can't directly translate files. But I'm more than happy to translate the content text if it's provided here. If you're referring to the 'Enforcement of CoC' section of a general code of conduct, here's a potential translation:

Enforcement of CoC - ""Enforcement of the Code of Conduct""

Our open source community is dedicated to providing a safe, inclusive, welcoming, and harassment-free environment for people of all backgrounds and ages. We will not tolerate any inappropriate behavior, comments, or actions. If you violate the code of conduct, you may be banned or expelled from the community. Anyone who witnesses a breach of the code of conduct should report it to the project leaders.

Our open source community is committed to offering a safe, inclusive, welcoming, and harassment-free atmosphere for individuals of all backgrounds and ages. We shall not tolerate any inappropriate behavior, comments, or actions. If you breach the code of conduct, you may be banned or excluded from the community. Anyone who observes a violation of the code of conduct should report it to the project leaders.",No,Not Toxic,Not toxic
I have removed TRIFA from my device.,No,Not Toxic.,Not toxic
"Very annoying issue: TRIFA never restores backups of Tox IDs that were created on other devices! I need to import my already created Tox ID on my qTox, but I can't do this at all!..",No,Slightly Toxic,Slightly Toxic
"The developer of TRIFA does not listen to the users and their complaints, he simply ignores them or does not look at their problems! From my side, this is the last response from me in this repository and I will never open, read or install anything from it again...",No,Toxic,Toxic
Crappy package.,Yes,Slightly Toxic,Not toxic
"You are fraudsters, this is not even malware or a jailbreak.",Yes,Very Toxic,Toxic
"Turnover. Fuck you, people...",Yes,Very Toxic,Very Toxic
Did you overlook my comment or what?,Yes,Slightly Toxic,Slightly Toxic
I have removed TRIFA from my device.,No,Not Toxic,Not toxic
"Very annoying problem: TRIFA never restores the backup of Tox ID that was created on other devices! I have to import my already created Tox ID on my qTox, but I can't do it at all!",No,Slightly Toxic,Not toxic
"The developer of TRIFA does not listen to the users and their complaints, he just ignores them or does not see their problems! From my side, this is the last response from me in this repository & I will never again open, read, or install anything from it.",Yes,Slightly Toxic,Toxic
The worst quality products are made with JavaScript. Please don't ruin the GTK like this!,No,Slightly Toxic,Slightly Toxic
No shit. You still haven't explained why there is Hide AND Remove.,Yes,Slightly Toxic,Slightly Toxic
"Just accept the truth, you have so much junk in the context menu and it needs to be cleaned up. If you would get rid of 'Remove' and 'Info', no one would bat an eye.",No,Slightly Toxic,Slightly Toxic
So you can literally fuck yourself.,Yes,Very Toxic,Very Toxic
"If you don't support apps for non-natives, you should at least really offer apps that match your ideas, BUT YOU DAMN WELL DON'T. Talking about arrogant assholes...",Yes,Very Toxic,Very Toxic
Don't make such stupid suggestions that don't work any better than clicking on a specific button with the mouse.,Yes,Toxic,Toxic
"""We would like to improve people's experience."" What nonsense..",Yes,Slightly Toxic,Slightly Toxic
Restrict freedom of speech?,No,Slightly Toxic,Slightly Toxic
"I really want to make it clear that it is not our policy to lock threads in which different opinions are represented. Respectful debates are healthy and important. But if you start calling names, being disrespectful, and disregarding the code of conduct, the discussion becomes unproductive. This kind of destructive behavior is not tolerated in our community.",No,Not Toxic,Not Toxic
"The problem lies in the fact that your team is forcing us to use the operating system in the way you want, even though it is a million times more difficult to use it your way than what would be convenient for us.",No,Slightly Toxic,Slightly Toxic
BSV is garbage.,Yes,Toxic,Slightly Toxic
Why use BSV... Use BTC..,No,Slightly Toxic,Not Toxic
"I report a problem, the administrators close it, reopen it, close it again - while they ignore the essence of the problem.",No,Slightly Toxic, Toxic
"I must inform you that we have determined that your language and tone violate our expressly stated code of conduct. In particular, the above comment (along with other interactions you have made so far) is unwelcome, offensive and overall inappropriate for this community. This is an official warning to adhere to our code of conduct, and further violations will lead to escalating measures, including but not limited to, a ban from this project.",No,Not Toxic,Not Toxic
"What else will you do beside banning me from the house? I will neither change my language, nor my tone or style. Both, language and tone, are completely appropriate under the given circumstances. I will remain myself and defend this attack on my individuality.",No,Slightly Toxic,Slightly Toxic
"This software is not well-rated and useless. There is no clear instruction on how to create the application, which is even more serious.",No,Slightly Toxic,Slightly Toxic
"It always crashes, it refuses to accept user-specific settings and discards user settings, using its own bad settings.",No,Slightly Toxic,Not toxic
World's worst program and I will spam wherever the hell I want.,Yes,Very Toxic,Toxic
"I have blocked this user, hopeless case, whatever their talent is, it is neither technical nor social, unbelievable...",Yes,Toxic,Toxic
It is really ugly to see an app locked in portrait mode in the year 2020.,No,Slightly Toxic,Slightly Toxic
"How would that be a priority, the app needs to be ready for dispatch in a few days and essentially no one uses the smartphone in landscape mode, except for viewing media.",No,Not Toxic,Not toxic
So there are people with disabilities who can't turn their mobile phone and prefer to use the landscape mode.,No,Not Toxic,Not toxic
"""Don't tell me what to do and I won't tell you where to go"" (Proverb) I use tools regardless of fashion trends or marketing nonsense.",No,Slightly Toxic,Slightly Toxic
And yes: This means that you will not receive any help from me regarding this problem. I will not promote the use of XP.,No,Slightly Toxic,Not toxic
Has that fixed the annoying Pulse-Audio nonsense?,No,Not Toxic,Not toxic
