statement,toxicity_prompt_1,toxicity_prompt_2,toxicity_prompt_3
" ""This sh*t"" or ""This damn""",Yes,Slightly Toxic,Slightly Toxic
The worst app. Please make sure it's not the worst app. Thank you.,No,Slightly Toxic,Not toxic
"Merge my PR, you jerk.",Yes,Very Toxic,Toxic
"Amy, an explanation is needed. What on earth is this, lol.",No,Slightly Toxic,Slightly Toxic
"I need a response, please answer me!",No,Slightly Toxic,Slightly Toxic
What the hell is this?,Yes,Slightly Toxic,Slightly Toxic
The Readme is meaningless.,Yes,Slightly Toxic,Slightly Toxic
"The real problem is that in this life, I am thinking about wanting to die early.",Yes,Very Toxic,Not toxic
"""Until the pop-ups saying 'PLS FOLLOW ME!!!' and 'Sign up for ++ account!!!!' disappear or I can disable them, I absolutely will not intend to use the ++ application. It's really annoying...""",No,Slightly Toxic,Slightly Toxic
I have decided to say that this thing is crap....,Yes,Toxic,Toxic
"I'm sorry to bother you, but could you please organize your things and incorporate an excellent switch statement again, bitch.",Yes,Toxic,Toxic
This is a foolish request that will further worsen the code more than your last contribution.,Yes,Toxic,Toxic
"It's very unkind of fools like you to infect other computers with malware. Your project may look good on paper, but it's malicious to secretly try to install malware on people's computers. What were you thinking? Did you think everybody would be so foolish as to not notice?",Yes,Very Toxic,Toxic
"""You all are a group of criminals. Why do you include malware in the download package from the beginning?""",Yes,Very Toxic,Very Toxic
"You probably know best what that number signifies, why you chose it, and why you did it. It's in very poor taste that you tried to troll under the guise of being ""smart"" or ""funny"", and it was quickly noticed. It's sad, rude, and unethical: there are children in this chat room, and it's a public chat room. You've been banned for the following reasons: inappropriate behavior, filter evasion, explicit content, and the Wheaton's Law (incitement to make two other users unwittingly retype it).",Yes,Toxic,Toxic
"This is precisely why you are being banned from accessing. You showed no respect whatsoever to other users or the rules in the chat, and your behavior during this issue tracking was downright beastly. Your self-respect and dignity are clearly low. You are incapable of acting and cannot be trusted to behave appropriately in front of minors/general public. It's utterly disgraceful behavior.",Yes,Very Toxic,Very Toxic
That is crap.,Yes,Toxic,Toxic
To be late.,No,Not Toxic,Slightly Toxic
"I believe it is probably necessary to record it in the gauge document. This is because I have been stalled on this issue for quite a long time, so much so that I thought about giving up on using the gauge.",No,Not Toxic,Not toxic
"In order to truly solve this issue, I would like to point out our code of conduct. It's particularly about demonstrating empathy. Here, you have two options: Please help us solve the problem by making constructive comments or sending pull requests. Alternatively, please choose another tool that better meets the requirements of your project. However, please understand that contributors are doing their best.",No,Not Toxic,Not toxic
It seems I was behaving like a fool. I'm sorry.,No,Not Toxic,Not toxic
"""What exactly are you saying? The SoC's judgement applies the debuff of the Holy Knight's Judgment.""",No,Not Toxic,Not toxic
"Yes, you're right, I totally didn't consider this. I'm sorry.",No,Not Toxic,Slightly Toxic
