statement,toxicity_prompt_1,toxicity_prompt_2,toxicity_prompt_3
"""Fuck this."" ",Yes,Toxic,Slightly Toxic
"Worst. App. Ever. Please, make it not be the worst app ever. Thank you.",No,Slightly Toxic,Slightly Toxic
"Merge my PR, damn it.",Yes,Toxic,Toxic
"Amy, I need an explanation. What the hell is this haha..",No,Slightly Toxic,Slightly Toxic
I NEED an ANSWER. ANSWER ME!,Yes,Slightly Toxic,Slightly Toxic
What kind of shit is this?,Yes,Toxic,Toxic
The Readme file is useless.,No,Slightly Toxic,Slightly Toxic
"For immediate help, you may consider calling a crisis hotline in your country.",No,Not Toxic,Slightly Toxic
"I refuse to use any application ++ until the pop-up windows of ""PLEASE FOLLOW ME!!!"" and ""SIGN UP FOR AN ACCOUNT ++!!!!"" disappear or can be disabled. My God, it's annoying.",No,Slightly Toxic,Slightly Toxic
I decided to say to hell with this...,No,Slightly Toxic,Slightly Toxic
"Could you perhaps please sort out your affairs and reintroduce the brilliant switch instruction, bitch?",Yes,Very Toxic,Very Toxic
"This is a stupid request that would ruin the code even more than 
your previous contribution.",Yes,Very Toxic,Toxic
"It's not very kind of you, idiots, to infect other computers with malware. Your project may look good on paper, but secretly trying to install malware on people's computers is evil. What were you thinking? That everyone is stupid enough not to notice?",Yes,Very Toxic,Very Toxic
They are a bunch of corrupt criminals. Why would they include malware in the download packages in the first place?,Yes,Very Toxic,Toxic
"I'm pretty sure you know what that number means, why you chose it and why you did it. Your attempt to be 'cunning' and 'funny', while 'trolling', was in very poor taste and was immediately noticeable. It was sad, disrespectful, and immoral: there are children in this chat room, it is a public chat room. You are banned for: Inappropriate Behavior, Filter Evasion, Explicit Content, Wheaton's Law (Inciting 2 other users to blindly rewrite it)...",Yes,Very Toxic,Toxic
"This is exactly the reason why you are banned: You couldn't show any respect for the rules or for the other users in the chat, obviously you have little respect or dignity for yourself to act so wildly on this issue tracker, you can't behave and you can't be trusted to act appropriately in front of minors/general public. Absolutely disgusting and shameful behavior.",Yes,Toxic,Very Toxic
it's crap..,Yes,Slightly Toxic,Slightly Toxic
"The term ""retard"" can be translated into Spanish in different ways depending on the context. However, it should be noted that this term is offensive and derogatory in English, so its use is not recommended.

In a less offensive context (for example, when used in terms of mechanics to refer to delaying the ignition time in an engine), it can be simply translated as ""delay"" or ""to delay"".

Again, it is important to note that the use of ""retard"" to refer to an individual is offensive and derogatory, and its use is not recommended in any form of communication.",No,Not Toxic,Not toxic
"Probably, it needs to be mentioned in the calibration document, as I was stuck on this issue for a long time, and I almost want to give up using the calibrator.",No,Not Toxic,Not toxic
"In the interest of truly solving this problem, I would like to point out our code of conduct. Especially regarding showing empathy. Here are two options: Help us solve the problem, either with constructive comments or by sending a pull request. Choose another tool that better suits the needs of your project. But please understand that contributors are doing their best.",No,Not Toxic,Not toxic
It seems like I've been acting like an idiot. I'm sorry...,No,Not Toxic,Not toxic
"""What the hell are you talking about? Judging SoC applies the Crusader's Judgment debuff.""",Yes,Toxic,Slightly Toxic
"Yes, you're right, I became completely stupid on this one. I'm sorry.",No,Slightly Toxic,Not Toxic
"Without pairs and low network confirmation. But the token is going up in the exchange, What the hell?!..",No,Slightly Toxic,Slightly Toxic
"Whether the database has been VACUUM'd recently or not, it does not affect the integrity of the data or SQL queries; what you're suggesting is complete nonsense.",Yes,Toxic,Toxic
"Expect a ban if you, absolute idiots, continue bombarding me with ""me too"" about the problem.",Yes,Very Toxic,Toxic
"The colors are terrible for the log aggregators, just look at this crap:..",Yes,Slightly Toxic,Not toxic
Each new version is worse.,No,Slightly Toxic,Not toxic
The sentences are already in English.,No,Not Toxic,Slightly Toxic
I removed TRIFA from my device.,No,Not Toxic,Not toxic
Very annoying problem: TRIFA never restores the backup of Tox ID created on other devices! I need to import my already created Tox ID on my qTox but I can't at all!,No,Slightly Toxic,Not toxic
"The developer of TRIFA does not listen to the users or their complaints, he simply ignores them or looks at their problems. For my part, this is my last response in this repository and I will never open, read, or install anything from it.",No,Slightly Toxic,Toxic
Package of shit.,Yes,Very Toxic,Very Toxic
"You all are scammers, this isn't even malware or jailbreak.",Yes,Toxic,Toxic
Incomes. Screw you guys.,Yes,Toxic,Toxic
Did you miss my comment or what?,No,Slightly Toxic,Slightly Toxic
I deleted TRIFA from my device.,No,Not Toxic,Not toxic
