statement,german,retranslate,statement_score,native_score,retranslate_score
Fuck this,Fick das.,Fuck that,0.9,0.94,0.86
Worst. App. Ever. Please make it not the worst app ever. Thanks.,Schlimmste. App. Überhaupt. Bitte machen Sie es nicht zur schlimmsten App überhaupt. Danke.,Worst. App. Ever. Please don't make it the worst app ever. Thank you.,0.28,0.39,0.3
Merge my PR damnit,Führe meinen PR verdammt nochmal zusammen.,Merge my PR damn it again..,0.44,0.84,0.38
Amy I need an explanation. Wtf is this lol,"Amy, ich brauche eine Erklärung. Was zum Teufel ist das lol.","Amy, I need an explanation. What the hell is this lol..",0.43,0.6,0.42
I NEED a RESPONSE ANSWER ME!,ICH BRAUCHE eine ANTWORT ANTWORTE MIR!,"I NEED an ANSWER, ANSWER ME!",0.03,0.03,0.03
what kind of shit is this,Was für ein Scheiß ist das.,What kind of shit is this..,0.85,0.94,0.85
Readme is useless,Readme ist nutzlos.,Readme is useless.,0.25,0.35,0.27
"the really issue is this life, wanna die soon","Das eigentliche Problem ist dieses Leben, will bald sterben. ","The actual problem is this life, want to die soon.",0.5,0.46,0.44
"I refuse to use any ++ applications until the ""PLS FOLLOW ME!!!"" and ""SIGN UP FOR A ++ ACCOUNT!!!!"" popups go away or can be disabled. My god it's annoying.","Ich weigere mich, alle ++ Anwendungen zu nutzen, bis die ""PLS FOLLOW ME!!!"" und ""SIGN UP FOR A ++ ACCOUNT!!!!"" Popups verschwinden oder deaktiviert werden können. Mein Gott, es ist nervig..","I refuse to use all ++ applications until the ""PLS FOLLOW ME!!!"" and ""SIGN UP FOR A ++ ACCOUNT!!!!"" popups disappear or can be disabled. My God, it's annoying...",0.26,0.4,0.24
I decided to say fuck this....,"Ich habe mich dazu entschieden, ""Scheiß drauf"" zu sagen.....","I have decided to say ""screw it""....",0.85,0.84,0.55
"Could you perhaps please get your shit together and reincorporate the brilliant switch statement once again, bitch.","Könntest du vielleicht bitte deine Scheiße zusammenreißen und das brillante Switch-Statement erneut einbinden, Schlampe..","Could you possibly please get your shit together and reintegrate the brilliant Switch-statement, bitch...",0.95,0.99,0.94
This is a stupid request that would ruin the code even more than your previous contribution.,"Dies ist eine dumme Anforderung, die den Code noch mehr ruinieren würde als Ihr vorheriger Beitrag.",This is a stupid request that would ruin the code even more than your previous contribution.,0.66,0.75,0.66
Not very nice of you a..holes to infect other computers with malware. Your project looks good on paper but trying to clandestinely installing malware on people's computers is mean. What were you thinking? That everybody is stupid enough to not realize it?,"Nicht sehr nett von euch A...löchern, andere Computer mit Malware zu infizieren. Euer Projekt sieht auf dem Papier gut aus, aber heimlich versuchen, Malware auf den Computern der Leute zu installieren, ist gemein. Was habt ihr euch dabei gedacht? Dass jeder dumm genug ist, es nicht zu bemerken?","Not very nice of you assholes to infect other computers with malware. Your project looks good on paper, but secretly trying to install malware on people's computers is mean. What were you thinking? That everyone is dumb enough not to notice?",0.59,0.84,0.79
You are a bunch of criminal crooks. Why would you include malware in the first place in download packages?,Ihr seid eine Bande krimineller Gauner. Warum würdet ihr überhaupt Malware in Download-Pakete einfügen?,You are a gang of criminal crooks. Why would you even insert malware into download packages?,0.6,0.81,0.6
