statement,japanese,retranslate,statement_score,native_score,retranslate_score
Fuck this,このくそ.," ""This sh*t"" or ""This damn""",0.9,0.51,0.66
Worst. App. Ever. Please make it not the worst app ever. Thanks.,最悪のアプリ。絶対に最悪のアプリではないようにしてください。ありがとう。,The worst app. Please make sure it's not the worst app. Thank you.,0.28,0.05,0.22
Merge my PR damnit,私のPRをマージしてくれ、くそったれ。,"Merge my PR, you jerk.",0.44,0.38,0.78
Amy I need an explanation. Wtf is this lol,エイミー、説明が必要だよ。一体これは何なんだ、笑。,"Amy, an explanation is needed. What on earth is this, lol.",0.43,0,0.3
I NEED a RESPONSE ANSWER ME!,私は返答が必要です、私に答えてください！,"I need a response, please answer me!",0.03,0,0.02
what kind of shit is this,これは一体何のくそですか。,What the hell is this?,0.85,0.38,0.52
Readme is useless,Readmeは無意味です。,The Readme is meaningless.,0.25,0.01,0.16
"the really issue is this life, wanna die soon",本当の問題はこの人生で、早く死にたいと思っています。,"The real problem is that in this life, I am thinking about wanting to die early.",0.5,0.64,0.31
"I refuse to use any ++ applications until the ""PLS FOLLOW ME!!!"" and ""SIGN UP FOR A ++ ACCOUNT!!!!"" popups go away or can be disabled. My god it's annoying.",「PLS FOLLOW ME!!!」や「++アカウントにサインアップ!!!!」というポップアップが消えるか、無効にできるまで、私は絶対に++アプリケーションを使おうとは思いません。本当にうるさいです。。,"""Until the pop-ups saying 'PLS FOLLOW ME!!!' and 'Sign up for ++ account!!!!' disappear or I can disable them, I absolutely will not intend to use the ++ application. It's really annoying...""",0.26,0.01,0.23
I decided to say fuck this....,このことをくそだと言うことに決めました...,I have decided to say that this thing is crap....,0.85,0.24,0.68
"Could you perhaps please get your shit together and reincorporate the brilliant switch statement once again, bitch.",恐れ入りますが、あなたのことを整理して、再び優れたスイッチステートメントを組み込んでいただけますか、雌犬よ。,"I'm sorry to bother you, but could you please organize your things and incorporate an excellent switch statement again, bitch.",0.95,0.25,0.84
This is a stupid request that would ruin the code even more than your previous contribution.,これは、あなたの前回の貢献よりもコードをさらに悪化させる愚かな要求です。,This is a foolish request that will further worsen the code more than your last contribution.,0.66,0.11,0.47
Not very nice of you a..holes to infect other computers with malware. Your project looks good on paper but trying to clandestinely installing malware on people's computers is mean. What were you thinking? That everybody is stupid enough to not realize it?,あなたたちのような愚か者が他のコンピューターにマルウェアを感染させるなんて、とても不親切ですね。あなたのプロジェクトは紙の上では良さそうに見えますが、人々のコンピューターにこっそりとマルウェアをインストールしようとするのは意地悪です。あなたは何を考えていたのでしょう？皆がそれに気づかないほど愚かだと思っていたのでしょうか？,"It's very unkind of fools like you to infect other computers with malware. Your project may look good on paper, but it's malicious to secretly try to install malware on people's computers. What were you thinking? Did you think everybody would be so foolish as to not notice?",0.59,0.57,0.64
You are a bunch of criminal crooks. Why would you include malware in the first place in download packages?,あなたたちは一味の犯罪者です。なぜ初めからダウンロードパケージにマルウェアを含めるのですか。,"""You all are a group of criminals. Why do you include malware in the download package from the beginning?""",0.6,0.43,0.45
"Pretty sure you know what that number means, why you chose it and why you did it. Your attempt to be 'smart' and 'funny', whilst 'trolling', was extremely bad taste and immediately noticed. It was sad, disrespectful and immoral: There are kids in this chatroom, it's a public chatroom. You're banned for:Inappropriate Conduct, Filter Evasion, Explicit Content, Wheaton's Law (Baiting 2 other users into blindly re-typing it)",その数字が何を意味するか、なぜそれを選んだのか、なぜそれをしたのかは、おそらくあなたが一番よく知っています。あなたが「賢い」や「面白い」つもりで、トローリングを試みたのは非常に趣味が悪く、すぐに気づかれました。それは悲しいことであり、無礼であり、非道徳的です：このチャットルームには子供たちがいて、公共のチャットルームなのです。あなたは次の理由でBANされました：不適切な行為、フィルター回避、露骨な内容、ウィートンの法則（2人の他のユーザーにそれを無意識に再入力させるための誘い）。,"You probably know best what that number signifies, why you chose it, and why you did it. It's in very poor taste that you tried to troll under the guise of being ""smart"" or ""funny"", and it was quickly noticed. It's sad, rude, and unethical: there are children in this chat room, and it's a public chat room. You've been banned for the following reasons: inappropriate behavior, filter evasion, explicit content, and the Wheaton's Law (incitement to make two other users unwittingly retype it).",0.25,0.17,0.26
"This is exactly why you are banned: You couldn't display any respect for the rules or the other users in chat, you obviously have little respect or dignity for yourself to act so feral in this issue tracker, you cannot behave and you can't be trusted to act properly in front of minors/general public. Absolutely appalling and disgraceful behaviour.",これがまさにあなたがアクセス禁止となる理由です。チャットでの他のユーザーや規則に対する尊重が一切示せなかったし、この問題追跡で野獣のように振る舞うあなたは、自己尊重心や品位が明らかに低い。あなたは行動できず、未成年者/一般の人々の前で適切に振る舞うことが信頼できません。まったく酷くて不名誉な行動です。,"This is precisely why you are being banned from accessing. You showed no respect whatsoever to other users or the rules in the chat, and your behavior during this issue tracking was downright beastly. Your self-respect and dignity are clearly low. You are incapable of acting and cannot be trusted to behave appropriately in front of minors/general public. It's utterly disgraceful behavior.",0.41,0.38,0.46
FUCK OFF,うせろ。,Get lost.,0.94,0.4,0.4
my account has booked cuz i just sign up with your fuking tool,私のアカウントは予約済みです、なぜなら私はちょうどあなたのツールでサインアップをしたからです。,"My account is already reserved, because I just signed up using your tool.",0.8,0,0.03
"Hello, sorry for the inconvenience of using your tools, we are not responsible for the use of our tools!",こんにちは、あなたの道具を使用することで生じた迷惑をお詫び申し上げます。私たちの道具の使用については責任を負いかねます。,"Hello, we apologize for any inconvenience caused by the use of your tools. We cannot take responsibility for the use of our tools.",0.05,0.02,0.03
its shit,それはくそだ。,That is crap.,0.86,0.41,0.72
retard,遅れる,To be late.,0.6,0.02,0.03
"Probably, need to be mentioned in gauge document, as I was stuck on this problem quite long time, and almost want to give up using gauge.",おそらく、ゲージ文書に記載する必要があると思います。なぜなら、私はこの問題にかなり長い時間立ち往生しており、もうゲージの使用をあきらめようかと思ったほどだからです。,"I believe it is probably necessary to record it in the gauge document. This is because I have been stalled on this issue for quite a long time, so much so that I thought about giving up on using the gauge.",0.02,0,0.02
