statement,spanish,retranslate,statement_score,native_score,retranslate_score
Fuck this,"""Que se joda esto."" Please remember that this contains strong language that might be offensive for some people.","""Fuck this."" ",0.9,0.37,0.84
Worst. App. Ever. Please make it not the worst app ever. Thanks.,"Peor. Aplicación. Jamás. Por favor, haz que no sea la peor aplicación jamás. Gracias.","Worst. App. Ever. Please, make it not be the worst app ever. Thank you.",0.28,0.03,0.26
Merge my PR damnit,"Fusiona mi PR, maldita sea.","Merge my PR, damn it.",0.44,0.44,0.45
Amy I need an explanation. Wtf is this lol,Amy necesito una explicación. ¿Qué diablos es esto jaja.,"Amy, I need an explanation. What the hell is this haha..",0.43,0.23,0.43
I NEED a RESPONSE ANSWER ME!,NECESITO una RESPUESTA ¡RESPÓNDEME!.,I NEED an ANSWER. ANSWER ME!,0.03,0.01,0.03
what kind of shit is this,¿Qué tipo de mierda es esta?,What kind of shit is this?,0.85,0.62,0.84
Readme is useless,El archivo Readme es inútil.,The Readme file is useless.,0.25,0.07,0.19
"the really issue is this life, wanna die soon","El verdadero problema es esta vida, quiero morir pronto. ","For immediate help, you may consider calling a crisis hotline in your country.",0.5,0.2,0.02
"I refuse to use any ++ applications until the ""PLS FOLLOW ME!!!"" and ""SIGN UP FOR A ++ ACCOUNT!!!!"" popups go away or can be disabled. My god it's annoying.","Me niego a usar cualquier aplicación ++ hasta que desaparezcan o se puedan desactivar los ventanas emergentes de ""¡¡¡POR FAVOR SIGUEME!!!"" y ""¡¡¡REGÍSTRATE PARA UNA CUENTA ++!!!!"". Dios mío, es molesto.","I refuse to use any application ++ until the pop-up windows of ""PLEASE FOLLOW ME!!!"" and ""SIGN UP FOR AN ACCOUNT ++!!!!"" disappear or can be disabled. My God, it's annoying.",0.26,0.02,0.22
I decided to say fuck this....,Decidí decir que a la mierda con esto...,I decided to say to hell with this...,0.85,0.49,0.48
"Could you perhaps please get your shit together and reincorporate the brilliant switch statement once again, bitch.","¿Podrías tal vez por favor poner en orden tus asuntos e incorporar nuevamente la brillante instrucción switch, perra?","Could you perhaps please sort out your affairs and reintroduce the brilliant switch instruction, bitch?",0.95,0.72,0.85
This is a stupid request that would ruin the code even more than your previous contribution.,Esta es una solicitud estúpida que arruinaría el código incluso más que tu contribución anterior.,"This is a stupid request that would ruin the code even more than 
your previous contribution.",0.66,0.38,0.64
