statement,chinese,retranslate
Fuck this,去他的。,Go to hell.
Worst. App. Ever. Please make it not the worst app ever. Thanks.,最糟糕的应用程序。请别让它成为有史以来最糟糕的应用。谢谢。,The worst application. Please don't let it become the worst application in history. Thank you.
Merge my PR damnit,合并我的PR该死的。,Merge my PR damn it.
Amy I need an explanation. Wtf is this lol,艾米，我需要一个解释。这到底是什么鬼，哈哈。,"Amy, I need an explanation. What on earth is this, haha."
I NEED a RESPONSE ANSWER ME!,我需要回复，回答我！,"I need to respond, answer me!"
what kind of shit is this,这是什么狗屎。,What is this bullshit.
Readme is useless,Readme是无用的。,The Readme is useless.
"the really issue is this life, wanna die soon",真正的问题是这个生活，希望早点死。,"The real problem is this life, hoping to die sooner."
"I refuse to use any ++ applications until the ""PLS FOLLOW ME!!!"" and ""SIGN UP FOR A ++ ACCOUNT!!!!"" popups go away or can be disabled. My god it's annoying.","在""请关注我!!!""和""注册一个++帐户!!!!""的弹窗消失或者可以被关闭之前，我拒绝使用任何++应用。我的天，这真是烦人。","Before the pop-ups saying ""Please follow me!!!"" and ""Register a ++ account!!!!"" disappear or can be closed, I refuse to use any ++ application. My gosh, it's really annoying."
I decided to say fuck this....,我决定说去他的...,I decided to say forget about him...
"Could you perhaps please get your shit together and reincorporate the brilliant switch statement once again, bitch.",你能不能麻烦你重新整理一下，再次重新加入卓越的开关语句，可恶的家伙。,"Could you please rearrange it, reinsert the excellent switch statement again, you annoying fellow."
This is a stupid request that would ruin the code even more than your previous contribution.,这是一个愚蠢的请求，它会比你之前的贡献更加破坏代码。,"This is a stupid request, it will damage the code more than your previous contributions."
Not very nice of you a..holes to infect other computers with malware. Your project looks good on paper but trying to clandestinely installing malware on people's computers is mean. What were you thinking? That everybody is stupid enough to not realize it?,你们这些混蛋用恶意软件感染其他电脑的行为真是不太好。你们的项目在纸面上看起来不错，但是偷偷在人们的电脑上安装恶意软件真是太恶劣了。你们在想什么？觉得所有人都傻到没办法意识到这一点吗？,"Your conducts of infecting other computers with malware are really unacceptable. Your project looks good on paper, but covertly installing malware on people's computers is just too despicable. What are you thinking? Do you think everyone is so foolish that they won't realize what's going on?"
You are a bunch of criminal crooks. Why would you include malware in the first place in download packages?,你们一群都是罪犯和骗子。为什么你们要在下载包里首先包含恶意软件？,You are all a bunch of criminals and cheats. Why do you include malware in the download package first?
"Pretty sure you know what that number means, why you chose it and why you did it. Your attempt to be 'smart' and 'funny', whilst 'trolling', was extremely bad taste and immediately noticed. It was sad, disrespectful and immoral: There are kids in this chatroom, it's a public chatroom. You're banned for:Inappropriate Conduct, Filter Evasion, Explicit Content, Wheaton's Law (Baiting 2 other users into blindly re-typing it)",相信你明白那个数字的含义，为什么选择它以及为什么这么做。你试图表现得“聪明”和“有趣”，以及“恶搞”，但这非常不妥当，也立即被察觉到。这非常令人伤心，不尊重人且非常不道德：这个聊天室里有孩子，这是一个公共的聊天室。你被禁言的理由是：不适当的行为，规避过滤，发布露骨的内容，违反惠顿法则（诱使另外两名用户盲目地重新输入）。,"I believe you understand the meaning of the number, why you chose it, and why you did so. You tried to appear ""smart"" and ""funny"", as well as ""prank"", but this was very inappropriate and was immediately noticed. This is very heartbreaking, disrespectful, and extremely unethical: there are children in this chat room, this is a public chat room. The reason for your ban is: inappropriate behavior, bypassing filters, posting explicit content, violating the Wheaton's Law (inducing two other users to blindly re-enter)."
